"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2300","Registration with invalid Last Name / TC 9","webkit","Fri Mar 14 08:57:30 GMT 2025","passed","Fri Mar 14 08:57:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3603","Registration with valid data / TC 6","chromium","Fri Mar 14 08:57:05 GMT 2025","passed","Fri Mar 14 08:57:08 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3305","Login with empty Password field / TC 3","webkit","Fri Mar 14 08:57:24 GMT 2025","passed","Fri Mar 14 08:57:27 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","3375","Login with invalid data","webkit","Thu Mar 13 10:48:19 GMT 2025","passed","Thu Mar 13 10:48:22 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","15930","Login with valid data","chromium","Thu Mar 13 10:46:53 GMT 2025","passed","Thu Mar 13 10:47:09 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","3092","Login with empty fields / TC 4","webkit","Fri Mar 14 08:57:25 GMT 2025","passed","Fri Mar 14 08:57:28 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2015","validate with only valid login field","chromium","Wed Mar 12 19:30:49 GMT 2025","passed","Wed Mar 12 19:30:52 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","5763","validate with valid login and password fields","webkit","Wed Mar 12 19:31:03 GMT 2025","passed","Wed Mar 12 19:31:09 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","21729","Login with empty Password field","firefox","Thu Mar 13 10:47:19 GMT 2025","passed","Thu Mar 13 10:47:41 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","1216","should show error when login is missing","webkit","Wed Mar 12 19:29:46 GMT 2025","passed","Wed Mar 12 19:29:47 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2105","validate with only valid password field","webkit","Wed Mar 12 19:31:06 GMT 2025","passed","Wed Mar 12 19:31:08 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","3700","should register successfully with valid data","firefox","Wed Mar 12 19:31:40 GMT 2025","passed","Wed Mar 12 19:31:44 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3437","Login with empty Login field / TC 2","webkit","Fri Mar 14 08:57:24 GMT 2025","passed","Fri Mar 14 08:57:27 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2669","Registration with invalid First Name / TC 8","webkit","Fri Mar 14 08:57:30 GMT 2025","passed","Fri Mar 14 08:57:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1949","Registretion with invalid Last Name / TC 9","chromium","Thu Mar 13 17:50:27 GMT 2025","passed","Thu Mar 13 17:50:29 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3756","validate with empty login and password fields","firefox","Wed Mar 12 19:30:54 GMT 2025","passed","Wed Mar 12 19:30:58 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","2178","Login with empty Login field / TC 2","chromium","Fri Mar 14 08:57:03 GMT 2025","passed","Fri Mar 14 08:57:05 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","21840","Login with empty Login field","firefox","Thu Mar 13 10:47:17 GMT 2025","passed","Thu Mar 13 10:47:39 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","1501","should show error when last name is missing","chromium","Wed Mar 12 19:28:58 GMT 2025","passed","Wed Mar 12 19:28:59 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","7794","validate with valid login and password fields","firefox","Wed Mar 12 19:30:53 GMT 2025","passed","Wed Mar 12 19:31:00 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","4365","Registretion with valid data / TC 6","firefox","Thu Mar 13 17:50:30 GMT 2025","passed","Thu Mar 13 17:50:35 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1721","Registretion with invalid First Name / TC 8","webkit","Thu Mar 13 17:50:42 GMT 2025","passed","Thu Mar 13 17:50:44 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3155","Login with invalid data / TC 5","firefox","Fri Mar 14 08:57:15 GMT 2025","passed","Fri Mar 14 08:57:19 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2142","Login with empty fields / TC 4","chromium","Fri Mar 14 08:57:03 GMT 2025","passed","Fri Mar 14 08:57:05 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","5086","Registration with valid data / TC 6","firefox","Fri Mar 14 08:57:18 GMT 2025","passed","Fri Mar 14 08:57:23 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","11647","Login with empty fields","webkit","Thu Mar 13 10:48:03 GMT 2025","passed","Thu Mar 13 10:48:14 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","24789","Login with valid data","firefox","Thu Mar 13 10:47:17 GMT 2025","passed","Thu Mar 13 10:47:42 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","4979","Login with empty Login field / TC 2","firefox","Fri Mar 14 08:57:09 GMT 2025","passed","Fri Mar 14 08:57:14 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","5332","validate with invalid login and password fields","firefox","Wed Mar 12 19:30:54 GMT 2025","passed","Wed Mar 12 19:30:59 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","21723","Login with empty fields","firefox","Thu Mar 13 10:47:20 GMT 2025","passed","Thu Mar 13 10:47:42 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","14968","Login with valid data","webkit","Thu Mar 13 10:48:02 GMT 2025","passed","Thu Mar 13 10:48:17 GMT 2025","Login Validation","test/mainPage.spec.ts","",""
"","5130","Registretion with invalid Last Name / TC 9","firefox","Thu Mar 13 17:50:31 GMT 2025","passed","Thu Mar 13 17:50:36 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2022","validate with empty login and password fields","chromium","Wed Mar 12 19:30:50 GMT 2025","passed","Wed Mar 12 19:30:52 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","3556","Login with invalid data / TC 5","webkit","Fri Mar 14 08:57:28 GMT 2025","passed","Fri Mar 14 08:57:31 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2264","should show error when first name is missing","firefox","Wed Mar 12 19:29:30 GMT 2025","passed","Wed Mar 12 19:29:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5228","validate with valid login and password fields","chromium","Wed Mar 12 19:30:49 GMT 2025","passed","Wed Mar 12 19:30:55 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","2058","Login with empty Password field / TC 3","chromium","Fri Mar 14 08:57:03 GMT 2025","passed","Fri Mar 14 08:57:05 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","2335","should show error when login is missing","firefox","Wed Mar 12 19:29:30 GMT 2025","passed","Wed Mar 12 19:29:33 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","3470","Registretion with invalid First Name / TC 8","firefox","Thu Mar 13 17:50:31 GMT 2025","passed","Thu Mar 13 17:50:35 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1808","Registretion with valid data / TC 6","webkit","Thu Mar 13 17:50:40 GMT 2025","passed","Thu Mar 13 17:50:42 GMT 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","5627","Login with empty Password field / TC 3","firefox","Fri Mar 14 08:57:09 GMT 2025","passed","Fri Mar 14 08:57:15 GMT 2025","Login Validation","test/mainLoginPage.spec.ts","",""
"","1699","validate with empty login and password fields","webkit","Wed Mar 12 19:31:04 GMT 2025","passed","Wed Mar 12 19:31:06 GMT 2025","Login Page Validation","test/mainPage.spec.ts","",""
