"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2092","validate with only valid password field","webkit","Wed Mar 12 13:05:39 EET 2025","passed","Wed Mar 12 13:05:41 EET 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","1490","should show error when first name is missing","chromium","Wed Mar 12 13:04:38 EET 2025","passed","Wed Mar 12 13:04:39 EET 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2490","should show error when login is missing","firefox","Wed Mar 12 13:05:16 EET 2025","passed","Wed Mar 12 13:05:18 EET 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","20211","validate with invalid login and password fields","firefox","Wed Mar 12 13:04:40 EET 2025","passed","Wed Mar 12 13:05:00 EET 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","10875","validate with empty login and password fields","webkit","Wed Mar 12 13:05:23 EET 2025","passed","Wed Mar 12 13:05:33 EET 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","2345","should show error when login is missing","webkit","Wed Mar 12 13:05:41 EET 2025","passed","Wed Mar 12 13:05:44 EET 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1946","validate with only valid password field","chromium","Wed Mar 12 13:04:36 EET 2025","passed","Wed Mar 12 13:04:38 EET 2025","Login Page Validation","test/mainPage.spec.ts","",""
"","689","should disable register button when all fields are empty","chromium","Wed Mar 12 13:04:37 EET 2025","passed","Wed Mar 12 13:04:38 EET 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","2459","should show error when first name is missing","firefox","Wed Mar 12 13:05:16 EET 2025","passed","Wed Mar 12 13:05:18 EET 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","1573","should show error when passwords do not match","webkit","Wed Mar 12 13:05:42 EET 2025","passed","Wed Mar 12 13:05:44 EET 2025","Registration Page Validation","test/registerPage.spec.ts","",""
"","10907","validate with only valid login field","webkit","Wed Mar 12 13:05:23 EET 2025","passed","Wed Mar 12 13:05:34 EET 2025","Login Page Validation","test/mainPage.spec.ts","",""
